address,city_state_zip,bedsize,bathsize,price,co_owners,monthly_cost,savings
12 Garnett Ter,"San Francisco, CA, 94124",2.0,1.0,249811,2,469,2711
451 Kansas St #328,"San Francisco, CA, 94107",2.0,2.0,311231,2,584,3377
3912-3914 Cesar Chavez St,"San Francisco, CA, 94131",2.0,1.0,1695000,2,604,3850
55 Ora Way #308B,"San Francisco, CA, 94131",2.0,1.0,341794,2,641,3709
888 7th St #207,"San Francisco, CA, 94107",2.0,1.0,357001,2,670,3874
41 Kiska Rd,"San Francisco, CA, 94124",2.0,2.0,375623,2,705,4076
2916 Arelious Walker Dr #6,"San Francisco, CA, 94124",2.0,1.0,447313,2,839,4854
855 Folsom St #342,"San Francisco, CA, 94107",2.0,1.0,466125,2,874,5058
270 Valencia St #401,"San Francisco, CA, 94103",2.0,1.0,482825,2,906,5239
126 Dolphin Ct,"San Francisco, CA, 94124",2.0,1.0,489000,2,917,5306
1335 Laguna St #6,"San Francisco, CA, 94115",2.0,1.0,499000,2,936,5415
218 Grafton Ave,"San Francisco, CA, 94112",2.0,1.0,499000,2,936,5415
212 Howth St,"San Francisco, CA, 94112",2.0,1.0,499000,2,936,5415
28 Redondo St,"San Francisco, CA, 94124",2.0,2.0,499000,2,936,5415
1676 Wallace Ave,"San Francisco, CA, 94124",2.0,1.0,500000,2,938,5425
205 Salinas Ave,"San Francisco, CA, 94124",2.0,1.0,529000,2,992,5740
239 Arleta Ave,"San Francisco, CA, 94134",2.0,1.0,529999,2,994,5751
1151 Plymouth Ave,"San Francisco, CA, 94112",2.0,1.0,545000,2,1022,5914
400 Alemany Blvd #1,"San Francisco, CA, 94110",2.0,1.5,575000,2,1079,6239
515 Delta St,"San Francisco, CA, 94134",2.0,1.0,583000,2,1094,6326
441 Rolph St,"San Francisco, CA, 94112",2.0,1.0,588000,2,1103,6380
350 Athens St,"San Francisco, CA, 94112",2.0,2.5,588000,2,1103,6380
5810 Mission St #304,"San Francisco, CA, 94112",2.0,2.0,589000,2,1105,6391
2108 Great Highway Hwy #3,"San Francisco, CA, 94116",2.0,1.0,589000,2,1105,6391
727 Andover St,"San Francisco, CA, 94110",2.0,1.0,595000,2,1116,6456
343 Stoneridge Ln #5203,"San Francisco, CA, 94134",2.0,2.0,598000,2,1122,6489
60 Mercury St,"San Francisco, CA, 94124",2.0,1.0,599000,2,1124,6500
1387 Goettingen,"San Francisco, CA, 94134",2.0,1.0,599000,2,1124,6500
27 Talbert St,"San Francisco, CA, 94134",2.0,1.0,599000,2,1124,6500
2063 41st Ave,"San Francisco, CA, 94116",2.0,1.0,599000,2,1124,6500
400 Alemany Blvd #19,"San Francisco, CA, 94110",2.0,1.5,599000,2,1124,6500
1436 Ingalls St,"San Francisco, CA, 94124",2.0,1.0,610000,2,1144,6619
218 Ordway St,"San Francisco, CA, 94134",2.0,1.0,619000,2,1161,6717
8200 Oceanview Ter #408,"San Francisco, CA, 94132",2.0,2.0,625000,2,1172,6782
130 Brazil Ave,"San Francisco, CA, 94112",2.0,1.0,625000,2,1172,6782
208 N Lake Merced Hls #1A,"San Francisco, CA, 94132",2.0,2.0,628000,2,1178,6814
3981 Alemany Blvd #110,"San Francisco, CA, 94132",2.0,2.0,629000,2,1180,6825
3981 Alemany Blvd #209,"San Francisco, CA, 94132",2.0,2.0,629000,2,1180,6825
301 Crescent Ct #3216,"San Francisco, CA, 94134",2.0,2.0,642000,2,1204,6966
124 Majestic Ave,"San Francisco, CA, 94112",2.0,1.0,649000,2,1217,7042
8100 Oceanview Ter #204,"San Francisco, CA, 94132",2.0,2.0,649000,2,1217,7042
20 Drake St,"San Francisco, CA, 94112",2.0,1.0,649000,2,1217,7042
840 Potrero Ave,"San Francisco, CA, 94110",2.0,1.0,649000,2,1217,7042
157 A St,"South San Francisco, CA, 94080",2.0,1.0,650000,2,1219,7053
501 Crescent Way #5310,"San Francisco, CA, 94134",2.0,2.0,649900,2,1219,7052
1211 Bowdoin St,"San Francisco, CA, 94134",2.0,1.0,660000,2,1238,7162
501 Crescent Way #5212,"San Francisco, CA, 94134",2.0,2.0,668000,2,1253,7248
301 Crescent Ct #3116,"San Francisco, CA, 94134",2.0,2.0,670000,2,1257,7270
162 Stoneridge Ln #1207,"San Francisco, CA, 94134",2.0,2.0,679000,2,1274,7368
201 Pope St,"San Francisco, CA, 94112",2.0,2.0,679000,2,1274,7368
98 Reddy St,"San Francisco, CA, 94124",2.0,1.0,680000,2,1276,7379
5800 3rd St #1407,"San Francisco, CA, 94124",2.0,2.0,688000,2,1291,7465
924 Dwight St,"San Francisco, CA, 94134",2.0,1.0,688888,2,1292,7475
1 Crescent Way #1107,"San Francisco, CA, 94134",2.0,2.0,689000,2,1292,7476
1435-1437 Revere Ave,"San Francisco, CA, 94124",2.0,1.0,695000,2,1304,7541
537 Moultrie St,"San Francisco, CA, 94110",2.0,1.0,695000,2,1304,7541
1914 34th Ave,"San Francisco, CA, 94116",2.0,1.0,695000,2,1304,7541
2414 47th Ave,"San Francisco, CA, 94116",2.0,1.0,695000,2,1304,7541
5122-A Diamond Heights Blvd #A,"San Francisco, CA, 94131",2.0,2.0,698000,2,1309,7574
131 Naglee Ave,"San Francisco, CA, 94112",2.0,1.0,699000,2,1311,7585
1488 Harrison St #101,"San Francisco, CA, 94103",2.0,2.0,699000,2,1311,7585
624 Brussels St,"San Francisco, CA, 94134",2.0,1.0,699000,2,1311,7585
1862 Ellis St #A,"San Francisco, CA, 94115",2.0,1.0,699000,2,1311,7585
574 26th Ave #2,"San Francisco, CA, 94121",2.0,2.0,699000,2,1311,7585
43 Winding Way,"San Francisco, CA, 94112",2.0,1.0,699000,2,1311,7585
