address,city_state_zip,bedsize,bathsize,price,co_owners,monthly_cost,savings,gallery_url
4036 Moraga St,"San Francisco, CA, 94122",3.0,2.5,1188000,3,1486,8594,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32407
126 Monterey Blvd,"San Francisco, CA, 94131",3.0,2.0,1198000,3,1498,8666,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324098
1671 Church St,"San Francisco, CA, 94131",3.0,2.5,1225000,3,1532,8861,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32400
2527 33rd Ave,"San Francisco, CA, 94116",3.0,2.0,1279000,3,1599,9252,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324052
2722 Irving St,"San Francisco, CA, 94122",3.0,2.5,1349000,3,1687,9758,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32414
571 20th Ave,"San Francisco, CA, 94121",3.0,2.0,1388000,3,1736,10041,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32406
638 19th St #4,"San Francisco, CA, 94107",3.0,2.0,1395000,3,1745,10091,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32402
229 Stanyan St,"San Francisco, CA, 94118",3.0,2.5,1399000,3,1750,10120,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32401
1714 8th Ave,"San Francisco, CA, 94122",3.0,2.5,1469000,3,1837,10627,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324082
955 Leavenworth,"San Francisco, CA, 94109",3.0,2.0,1549000,3,1937,11205,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324116
20 Wright St,"San Francisco, CA, 94110",3.0,2.0,1795000,3,2245,12985,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324039
187 Brompton Ave,"San Francisco, CA, 94131",3.0,2.25,1795000,3,2245,12985,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324075
2405 Folsom St #4,"San Francisco, CA, 94110",3.0,3.5,1899000,3,2375,13737,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324016
2405 Folsom St #6,"San Francisco, CA, 94110",3.0,3.5,1949000,3,2437,14099,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32395
225 Laguna St,"San Francisco, CA, 94102",3.0,2.5,2395000,3,2995,17325,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324142
425 1st St #2902,"San Francisco, CA, 94105",3.0,3.0,2985000,3,3733,21593,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324086
2230 Bush St,"San Francisco, CA, 94115",3.0,3.0,4995000,3,6247,36133,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324143
190 Mary Teresa St #2,"San Francisco, CA, 94134",4.0,2.0,1099000,4,1031,5963,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324108
541 Orizaba Ave,"San Francisco, CA, 94132",4.0,3.0,1199000,4,1125,6505,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324030541
456 Los Palmos Dr,"San Francisco, CA, 94127",4.0,4.0,1299000,4,1218,7048,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324048
64 Mercedes Way,"San Francisco, CA, 94127",4.0,3.5,1895000,4,1777,10281,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324045
2855 Jackson St #102,"San Francisco, CA, 94115",4.0,2.5,2200000,4,2063,11936,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324006
3835-3837 26th St,"San Francisco, CA, 94131",4.0,2.0,2649000,4,2485,14372,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324126
407 Connecticut St,"San Francisco, CA, 94107",4.0,3.5,3195000,4,2997,17334,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324091
1661 Beach St,"San Francisco, CA, 94123",4.0,3.0,3195000,4,2997,17334,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32414
1644 Diamond,"San Francisco, CA, 94131",4.0,4.5,3895000,4,3653,21132,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32401
537 Laidley St,"San Francisco, CA, 94131",4.0,4.0,4085000,4,3831,22163,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324068
2838 Sacramento St,"San Francisco, CA, 94115",4.0,4.0,5795000,4,5435,31440,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324036
2440 Filbert St,"San Francisco, CA, 94123",4.0,3.5,5995000,4,5623,32525,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324071
1543 23rd Ave,"San Francisco, CA, 94122",5.0,3.0,1299999,5,975,5642,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32410
206 Bosworth St,"San Francisco, CA, 94112",5.0,4.0,2095000,5,1572,9093,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32405
86 Ord St,"San Francisco, CA, 94114",5.0,4.0,4795000,5,3598,20812,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32407
16 West Clay St,"San Francisco, CA, 94121",6.0,4.5,6495000,6,4061,23492,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32408
6 Nottingham Pl,"San Francisco, CA, 94133",9.0,4.0,2388888,9,996,5760,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324074
12 Garnett Ter,"San Francisco, CA, 94124",2.0,1.0,249811,2,469,2711,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32165
451 Kansas St #328,"San Francisco, CA, 94107",2.0,2.0,311231,2,584,3377,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320492
3912-3914 Cesar Chavez St,"San Francisco, CA, 94131",2.0,1.0,1695000,2,604,3850,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318397
55 Ora Way #308B,"San Francisco, CA, 94131",2.0,1.0,341794,2,641,3709,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321543
888 7th St #207,"San Francisco, CA, 94107",2.0,1.0,357001,2,670,3874,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=319240
41 Kiska Rd,"San Francisco, CA, 94124",2.0,2.0,375623,2,705,4076,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32114
2916 Arelious Walker Dr #6,"San Francisco, CA, 94124",2.0,1.0,447313,2,839,4854,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321677
855 Folsom St #342,"San Francisco, CA, 94107",2.0,1.0,466125,2,874,5058,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321405
270 Valencia St #401,"San Francisco, CA, 94103",2.0,1.0,482825,2,906,5239,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320952
126 Dolphin Ct,"San Francisco, CA, 94124",2.0,1.0,489000,2,917,5306,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320096
1335 Laguna St #6,"San Francisco, CA, 94115",2.0,1.0,499000,2,936,5415,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321679
218 Grafton Ave,"San Francisco, CA, 94112",2.0,1.0,499000,2,936,5415,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321932
212 Howth St,"San Francisco, CA, 94112",2.0,1.0,499000,2,936,5415,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318552
28 Redondo St,"San Francisco, CA, 94124",2.0,2.0,499000,2,936,5415,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=318444
1676 Wallace Ave,"San Francisco, CA, 94124",2.0,1.0,500000,2,938,5425,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321501
205 Salinas Ave,"San Francisco, CA, 94124",2.0,1.0,529000,2,992,5740,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320529
239 Arleta Ave,"San Francisco, CA, 94134",2.0,1.0,529999,2,994,5751,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32093
1151 Plymouth Ave,"San Francisco, CA, 94112",2.0,1.0,545000,2,1022,5914,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321152
400 Alemany Blvd #1,"San Francisco, CA, 94110",2.0,1.5,575000,2,1079,6239,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=319335
515 Delta St,"San Francisco, CA, 94134",2.0,1.0,583000,2,1094,,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320706
441 Rolph St,"San Francisco, CA, 94112",2.0,1.0,588000,2,1103,6380,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=32345
350 Athens St,"San Francisco, CA, 94112",2.0,2.5,588000,2,1103,6380,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=322103
5810 Mission St #304,"San Francisco, CA, 94112",2.0,2.0,589000,2,1105,6391,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323312
2108 Great Highway Hwy #3,"San Francisco, CA, 94116",2.0,1.0,589000,2,1105,6391,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=320681
727 Andover St,"San Francisco, CA, 94110",2.0,1.0,595000,2,1116,6456,http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=321709
